Ticker_Name,Ticker,Texts,Like_Count,Datetime
uob,U11.SI,"Remember! Sohail Baloch From Nushki Student of UoB &amp; Keyya Baloch from Mashkay an Aspirant of MDCAT, Are still Missing. Who went missing on Nov-2022 &amp; Jan-2023 respectively. 
Raise the Voice for their Safe Recovery.
#ReleaseSohailBaloch
#ReleaseKeyyaBaloch
#StopBalochGenocide https://t.co/1jflRyy7Me",94,2023-02-26 18:40:55
uob,U11.SI,"Remember! Sohail Baloch From Nushki Student of UoB &amp; Keyya Baloch from Mashkay an Aspirant of MDCAT, Are still Missing. Who went missing on Nov-2022 &amp; Jan-2023 respectively. 
Raise the Voice for their Safe Recovery.
#ReleaseSohailBaloch
#ReleaseKeyyaBaloch
#StopBalochGenocide",4,2023-02-26 19:45:20
uob,U11.SI,"Remember! Sohail Baloch From Nushki Student of UoB &amp; Keyya Baloch from Mashkay an Aspirant of MDCAT, Are still Missing. Who went missing on Nov-2022 &amp; Jan-2023 respectively. 
Raise the Voice for their Safe Recovery.
#ReleaseSohailBaloch
#ReleaseKeyyaBaloch
#StopBalochGenocide",2,2023-02-27 05:56:21
uob,U11.SI,"Trying to contact UOB for 2 hours. Too far into the game to quit. 

I feel like Phoebe from that episode where she tries to reach customer service.",1,2023-02-27 06:34:07
uob,U11.SI,"Really proud of this great work from Justine, one of my earliest PhD students who has completed her 5th and final Paper in my lab. Great insights into 11β-HSD1 in muscle wasting during acute lung inflammation. @unibham_SoBMS, @InflamAge_UoB
https://t.co/GLHQKzTl7c",36,2023-02-27 09:00:50
uob,U11.SI,First speaker in Session 1 @catmoore_1 from @StGeorgesUni talking about how the global burden estimates of AMR are helping to implement local action &amp; combat AMR #BactiVacEvents #vaccines4AMR @BactiVac @MicrobioSoc @bIGIdeas_UoB @unibirmingham @unibirm_MDS @UKgovGHS @britsocimm https://t.co/ItALVxN7Ts,15,2023-02-27 10:06:17
uob,U11.SI,Next Mateusz Hasso-Agopsowicz from @WHO talking about the role of vaccines in reducing AMR: @WHO strategy &amp; priorities #BactiVacEvents #vaccines4AMR @MicrobioSoc @bIGIdeas_UoB @unibirm_MDS @unibirmingham @UKgovGHS @britsocimm https://t.co/lEfvo7u8zV,9,2023-02-27 10:43:49
uob,U11.SI,AWARE event. Abi from Yumchop Food. Really interesting first session on challenges in starting and establishing their business. #UOB @BedsBiz,0,2023-02-27 10:45:34
uob,U11.SI,"Massive thank you to @demijomorganRNc, describing her journey from student children’s nurse to #NQN. A really insightful presentation with lots of tips for our #studentnurses #TeamBradford https://t.co/Jf42HjLY69",8,2023-02-27 11:23:53
uob,U11.SI,Back from our morning coffee break to listen to @BactiVac board member Prof Mark Stevens from @roslininstitute talk about vaccines for animal &amp; zoonotic bacterial pathogens #BactiVacEvents #vaccines4AMR  @MicrobioSoc @bIGIdeas_UoB @UKgovGHS @Wellcome_AMR @britsocimm @unibirm_MDS https://t.co/dOgVPmVt8M,16,2023-02-27 11:49:17
uob,U11.SI,"ICYMI: Fantastic news from our friends @BactiVac. 

Bacterial infections kill over 7 million people each year and the development of new and better vaccines will reduce this devastating burden of disease.",4,2023-02-27 11:51:00
